,date,wm_yr_wk,weekday,wday,month,year,d,sporting_days,cultrural_days,national_days,religious_days,sales
0,1/29/11,11101,Saturday,1,1,2011,1,0,0,0,0,19
1,1/30/11,11101,Sunday,2,1,2011,2,0,0,0,0,14
2,1/31/11,11101,Monday,3,1,2011,3,0,0,0,0,10
3,2/1/11,11101,Tuesday,4,2,2011,4,0,0,0,0,8
4,2/2/11,11101,Wednesday,5,2,2011,5,0,0,0,0,8
5,2/3/11,11101,Thursday,6,2,2011,6,0,0,0,0,13
6,2/4/11,11101,Friday,7,2,2011,7,0,0,0,0,16
7,2/5/11,11102,Saturday,1,2,2011,8,0,0,0,0,43
8,2/6/11,11102,Sunday,2,2,2011,9,1,0,0,0,25
9,2/7/11,11102,Monday,3,2,2011,10,0,0,0,0,18
10,2/8/11,11102,Tuesday,4,2,2011,11,0,0,0,0,14
11,2/9/11,11102,Wednesday,5,2,2011,12,0,0,0,0,11
12,2/10/11,11102,Thursday,6,2,2011,13,0,0,0,0,12
13,2/11/11,11102,Friday,7,2,2011,14,0,0,0,0,13
14,2/12/11,11103,Saturday,1,2,2011,15,0,0,0,0,33
15,2/13/11,11103,Sunday,2,2,2011,16,0,0,0,0,31
16,2/14/11,11103,Monday,3,2,2011,17,0,1,0,0,8
17,2/15/11,11103,Tuesday,4,2,2011,18,0,0,0,0,18
18,2/16/11,11103,Wednesday,5,2,2011,19,0,0,0,0,13
19,2/17/11,11103,Thursday,6,2,2011,20,0,0,0,0,8
20,2/18/11,11103,Friday,7,2,2011,21,0,0,0,0,13
21,2/19/11,11104,Saturday,1,2,2011,22,0,0,0,0,20
22,2/20/11,11104,Sunday,2,2,2011,23,0,0,0,0,23
23,2/21/11,11104,Monday,3,2,2011,24,0,0,1,0,16
24,2/22/11,11104,Tuesday,4,2,2011,25,0,0,0,0,7
25,2/23/11,11104,Wednesday,5,2,2011,26,0,0,0,0,16
26,2/24/11,11104,Thursday,6,2,2011,27,0,0,0,0,6
27,2/25/11,11104,Friday,7,2,2011,28,0,0,0,0,6
28,2/26/11,11105,Saturday,1,2,2011,29,0,0,0,0,16
29,2/27/11,11105,Sunday,2,2,2011,30,0,0,0,0,16
30,2/28/11,11105,Monday,3,2,2011,31,0,0,0,0,6
31,3/1/11,11105,Tuesday,4,3,2011,32,0,0,0,0,14
32,3/2/11,11105,Wednesday,5,3,2011,33,0,0,0,0,18
33,3/3/11,11105,Thursday,6,3,2011,34,0,0,0,0,14
34,3/4/11,11105,Friday,7,3,2011,35,0,0,0,0,18
35,3/5/11,11106,Saturday,1,3,2011,36,0,0,0,0,43
36,3/6/11,11106,Sunday,2,3,2011,37,0,0,0,0,24
37,3/7/11,11106,Monday,3,3,2011,38,0,0,0,0,15
38,3/8/11,11106,Tuesday,4,3,2011,39,0,0,0,0,12
39,3/9/11,11106,Wednesday,5,3,2011,40,0,0,0,1,14
40,3/10/11,11106,Thursday,6,3,2011,41,0,0,0,0,19
41,3/11/11,11106,Friday,7,3,2011,42,0,0,0,0,14
42,3/12/11,11107,Saturday,1,3,2011,43,0,0,0,0,26
43,3/13/11,11107,Sunday,2,3,2011,44,0,0,0,0,25
44,3/14/11,11107,Monday,3,3,2011,45,0,0,0,0,13
45,3/15/11,11107,Tuesday,4,3,2011,46,0,0,0,0,16
46,3/16/11,11107,Wednesday,5,3,2011,47,0,0,0,1,12
47,3/17/11,11107,Thursday,6,3,2011,48,0,1,0,0,14
48,3/18/11,11107,Friday,7,3,2011,49,0,0,0,0,11
49,3/19/11,11108,Saturday,1,3,2011,50,0,0,0,0,29
50,3/20/11,11108,Sunday,2,3,2011,51,0,0,0,1,21
51,3/21/11,11108,Monday,3,3,2011,52,0,0,0,0,18
52,3/22/11,11108,Tuesday,4,3,2011,53,0,0,0,0,13
53,3/23/11,11108,Wednesday,5,3,2011,54,0,0,0,0,9
54,3/24/11,11108,Thursday,6,3,2011,55,0,0,0,0,4
55,3/25/11,11108,Friday,7,3,2011,56,0,0,0,0,23
56,3/26/11,11109,Saturday,1,3,2011,57,0,0,0,0,34
57,3/27/11,11109,Sunday,2,3,2011,58,0,0,0,0,38
58,3/28/11,11109,Monday,3,3,2011,59,0,0,0,0,11
59,3/29/11,11109,Tuesday,4,3,2011,60,0,0,0,0,17
60,3/30/11,11109,Wednesday,5,3,2011,61,0,0,0,0,22
61,3/31/11,11109,Thursday,6,3,2011,62,0,0,0,0,27
62,4/1/11,11109,Friday,7,4,2011,63,0,0,0,0,32
63,4/2/11,11110,Saturday,1,4,2011,64,0,0,0,0,41
64,4/3/11,11110,Sunday,2,4,2011,65,0,0,0,0,41
65,4/4/11,11110,Monday,3,4,2011,66,0,0,0,0,17
66,4/5/11,11110,Tuesday,4,4,2011,67,0,0,0,0,29
67,4/6/11,11110,Wednesday,5,4,2011,68,0,0,0,0,19
68,4/7/11,11110,Thursday,6,4,2011,69,0,0,0,0,23
69,4/8/11,11110,Friday,7,4,2011,70,0,0,0,0,27
70,4/9/11,11111,Saturday,1,4,2011,71,0,0,0,0,32
71,4/10/11,11111,Sunday,2,4,2011,72,0,0,0,0,44
72,4/11/11,11111,Monday,3,4,2011,73,0,0,0,0,15
73,4/12/11,11111,Tuesday,4,4,2011,74,0,0,0,0,11
74,4/13/11,11111,Wednesday,5,4,2011,75,0,0,0,0,18
75,4/14/11,11111,Thursday,6,4,2011,76,0,0,0,0,27
76,4/15/11,11111,Friday,7,4,2011,77,0,0,0,0,38
77,4/16/11,11112,Saturday,1,4,2011,78,0,0,0,0,33
78,4/17/11,11112,Sunday,2,4,2011,79,0,0,0,0,51
79,4/18/11,11112,Monday,3,4,2011,80,0,0,0,0,20
80,4/19/11,11112,Tuesday,4,4,2011,81,0,0,0,0,11
81,4/20/11,11112,Wednesday,5,4,2011,82,0,0,0,0,20
82,4/21/11,11112,Thursday,6,4,2011,83,0,0,0,0,17
83,4/22/11,11112,Friday,7,4,2011,84,0,0,0,0,36
84,4/23/11,11113,Saturday,1,4,2011,85,0,0,0,0,54
85,4/24/11,11113,Sunday,2,4,2011,86,0,1,0,1,33
86,4/25/11,11113,Monday,3,4,2011,87,0,0,0,0,9
87,4/26/11,11113,Tuesday,4,4,2011,88,0,0,0,1,12
88,4/27/11,11113,Wednesday,5,4,2011,89,0,0,0,0,11
89,4/28/11,11113,Thursday,6,4,2011,90,0,0,0,0,22
90,4/29/11,11113,Friday,7,4,2011,91,0,0,0,0,17
91,4/30/11,11114,Saturday,1,4,2011,92,0,0,0,0,37
92,5/1/11,11114,Sunday,2,5,2011,93,0,0,0,0,52
93,5/2/11,11114,Monday,3,5,2011,94,0,0,0,0,19
94,5/3/11,11114,Tuesday,4,5,2011,95,0,0,0,0,24
95,5/4/11,11114,Wednesday,5,5,2011,96,0,0,0,0,33
96,5/5/11,11114,Thursday,6,5,2011,97,0,1,0,0,25
97,5/6/11,11114,Friday,7,5,2011,98,0,0,0,0,26
98,5/7/11,11115,Saturday,1,5,2011,99,0,0,0,0,55
99,5/8/11,11115,Sunday,2,5,2011,100,0,1,0,0,29
100,5/9/11,11115,Monday,3,5,2011,101,0,0,0,0,24
101,5/10/11,11115,Tuesday,4,5,2011,102,0,0,0,0,10
102,5/11/11,11115,Wednesday,5,5,2011,103,0,0,0,0,21
103,5/12/11,11115,Thursday,6,5,2011,104,0,0,0,0,19
104,5/13/11,11115,Friday,7,5,2011,105,0,0,0,0,23
105,5/14/11,11116,Saturday,1,5,2011,106,0,0,0,0,33
106,5/15/11,11116,Sunday,2,5,2011,107,0,0,0,0,36
107,5/16/11,11116,Monday,3,5,2011,108,0,0,0,0,15
108,5/17/11,11116,Tuesday,4,5,2011,109,0,0,0,0,7
109,5/18/11,11116,Wednesday,5,5,2011,110,0,0,0,0,23
110,5/19/11,11116,Thursday,6,5,2011,111,0,0,0,0,20
111,5/20/11,11116,Friday,7,5,2011,112,0,0,0,0,33
112,5/21/11,11117,Saturday,1,5,2011,113,0,0,0,0,58
113,5/22/11,11117,Sunday,2,5,2011,114,0,0,0,0,28
114,5/23/11,11117,Monday,3,5,2011,115,0,0,0,0,18
115,5/24/11,11117,Tuesday,4,5,2011,116,0,0,0,0,14
116,5/25/11,11117,Wednesday,5,5,2011,117,0,0,0,0,11
117,5/26/11,11117,Thursday,6,5,2011,118,0,0,0,0,18
118,5/27/11,11117,Friday,7,5,2011,119,0,0,0,0,18
119,5/28/11,11118,Saturday,1,5,2011,120,0,0,0,0,34
120,5/29/11,11118,Sunday,2,5,2011,121,0,0,0,0,55
121,5/30/11,11118,Monday,3,5,2011,122,0,0,1,0,23
122,5/31/11,11118,Tuesday,4,5,2011,123,1,0,0,0,15
123,6/1/11,11118,Wednesday,5,6,2011,124,0,0,0,0,15
124,6/2/11,11118,Thursday,6,6,2011,125,0,0,0,0,31
125,6/3/11,11118,Friday,7,6,2011,126,0,0,0,0,29
126,6/4/11,11119,Saturday,1,6,2011,127,0,0,0,0,40
127,6/5/11,11119,Sunday,2,6,2011,128,0,0,0,0,39
128,6/6/11,11119,Monday,3,6,2011,129,0,0,0,0,25
129,6/7/11,11119,Tuesday,4,6,2011,130,0,0,0,0,15
130,6/8/11,11119,Wednesday,5,6,2011,131,0,0,0,0,18
131,6/9/11,11119,Thursday,6,6,2011,132,0,0,0,0,36
132,6/10/11,11119,Friday,7,6,2011,133,0,0,0,0,30
133,6/11/11,11120,Saturday,1,6,2011,134,0,0,0,0,37
134,6/12/11,11120,Sunday,2,6,2011,135,1,0,0,0,37
135,6/13/11,11120,Monday,3,6,2011,136,0,0,0,0,42
136,6/14/11,11120,Tuesday,4,6,2011,137,0,0,0,0,37
137,6/15/11,11120,Wednesday,5,6,2011,138,0,0,0,0,55
138,6/16/11,11120,Thursday,6,6,2011,139,0,0,0,0,27
139,6/17/11,11120,Friday,7,6,2011,140,0,0,0,0,35
140,6/18/11,11121,Saturday,1,6,2011,141,0,0,0,0,52
141,6/19/11,11121,Sunday,2,6,2011,142,0,1,0,0,80
142,6/20/11,11121,Monday,3,6,2011,143,0,0,0,0,40
143,6/21/11,11121,Tuesday,4,6,2011,144,0,0,0,0,35
144,6/22/11,11121,Wednesday,5,6,2011,145,0,0,0,0,40
145,6/23/11,11121,Thursday,6,6,2011,146,0,0,0,0,23
146,6/24/11,11121,Friday,7,6,2011,147,0,0,0,0,34
147,6/25/11,11122,Saturday,1,6,2011,148,0,0,0,0,56
148,6/26/11,11122,Sunday,2,6,2011,149,0,0,0,0,68
149,6/27/11,11122,Monday,3,6,2011,150,0,0,0,0,25
150,6/28/11,11122,Tuesday,4,6,2011,151,0,0,0,0,17
151,6/29/11,11122,Wednesday,5,6,2011,152,0,0,0,0,33
152,6/30/11,11122,Thursday,6,6,2011,153,0,0,0,0,31
153,7/1/11,11122,Friday,7,7,2011,154,0,0,0,0,80
154,7/2/11,11123,Saturday,1,7,2011,155,0,0,0,0,86
155,7/3/11,11123,Sunday,2,7,2011,156,0,0,0,0,94
156,7/4/11,11123,Monday,3,7,2011,157,0,0,1,0,52
157,7/5/11,11123,Tuesday,4,7,2011,158,0,0,0,0,48
158,7/6/11,11123,Wednesday,5,7,2011,159,0,0,0,0,39
159,7/7/11,11123,Thursday,6,7,2011,160,0,0,0,0,38
160,7/8/11,11123,Friday,7,7,2011,161,0,0,0,0,34
161,7/9/11,11124,Saturday,1,7,2011,162,0,0,0,0,34
162,7/10/11,11124,Sunday,2,7,2011,163,0,0,0,0,48
163,7/11/11,11124,Monday,3,7,2011,164,0,0,0,0,36
164,7/12/11,11124,Tuesday,4,7,2011,165,0,0,0,0,22
165,7/13/11,11124,Wednesday,5,7,2011,166,0,0,0,0,18
166,7/14/11,11124,Thursday,6,7,2011,167,0,0,0,0,22
167,7/15/11,11124,Friday,7,7,2011,168,0,0,0,0,27
168,7/16/11,11125,Saturday,1,7,2011,169,0,0,0,0,40
169,7/17/11,11125,Sunday,2,7,2011,170,0,0,0,0,48
170,7/18/11,11125,Monday,3,7,2011,171,0,0,0,0,34
171,7/19/11,11125,Tuesday,4,7,2011,172,0,0,0,0,31
172,7/20/11,11125,Wednesday,5,7,2011,173,0,0,0,0,50
173,7/21/11,11125,Thursday,6,7,2011,174,0,0,0,0,34
174,7/22/11,11125,Friday,7,7,2011,175,0,0,0,0,45
175,7/23/11,11126,Saturday,1,7,2011,176,0,0,0,0,39
176,7/24/11,11126,Sunday,2,7,2011,177,0,0,0,0,65
177,7/25/11,11126,Monday,3,7,2011,178,0,0,0,0,21
178,7/26/11,11126,Tuesday,4,7,2011,179,0,0,0,0,23
179,7/27/11,11126,Wednesday,5,7,2011,180,0,0,0,0,22
180,7/28/11,11126,Thursday,6,7,2011,181,0,0,0,0,23
181,7/29/11,11126,Friday,7,7,2011,182,0,0,0,0,38
182,7/30/11,11127,Saturday,1,7,2011,183,0,0,0,0,39
183,7/31/11,11127,Sunday,2,7,2011,184,0,0,0,0,40
184,8/1/11,11127,Monday,3,8,2011,185,0,0,0,1,28
185,8/2/11,11127,Tuesday,4,8,2011,186,0,0,0,0,26
186,8/3/11,11127,Wednesday,5,8,2011,187,0,0,0,0,28
187,8/4/11,11127,Thursday,6,8,2011,188,0,0,0,0,29
188,8/5/11,11127,Friday,7,8,2011,189,0,0,0,0,35
189,8/6/11,11128,Saturday,1,8,2011,190,0,0,0,0,50
190,8/7/11,11128,Sunday,2,8,2011,191,0,0,0,0,61
191,8/8/11,11128,Monday,3,8,2011,192,0,0,0,0,41
192,8/9/11,11128,Tuesday,4,8,2011,193,0,0,0,0,32
193,8/10/11,11128,Wednesday,5,8,2011,194,0,0,0,0,21
194,8/11/11,11128,Thursday,6,8,2011,195,0,0,0,0,32
195,8/12/11,11128,Friday,7,8,2011,196,0,0,0,0,35
196,8/13/11,11129,Saturday,1,8,2011,197,0,0,0,0,76
197,8/14/11,11129,Sunday,2,8,2011,198,0,0,0,0,84
198,8/15/11,11129,Monday,3,8,2011,199,0,0,0,0,44
199,8/16/11,11129,Tuesday,4,8,2011,200,0,0,0,0,26
200,8/17/11,11129,Wednesday,5,8,2011,201,0,0,0,0,10
201,8/18/11,11129,Thursday,6,8,2011,202,0,0,0,0,20
202,8/19/11,11129,Friday,7,8,2011,203,0,0,0,0,50
203,8/20/11,11130,Saturday,1,8,2011,204,0,0,0,0,64
204,8/21/11,11130,Sunday,2,8,2011,205,0,0,0,0,58
205,8/22/11,11130,Monday,3,8,2011,206,0,0,0,0,26
206,8/23/11,11130,Tuesday,4,8,2011,207,0,0,0,0,22
207,8/24/11,11130,Wednesday,5,8,2011,208,0,0,0,0,25
208,8/25/11,11130,Thursday,6,8,2011,209,0,0,0,0,26
209,8/26/11,11130,Friday,7,8,2011,210,0,0,0,0,30
210,8/27/11,11131,Saturday,1,8,2011,211,0,0,0,0,53
211,8/28/11,11131,Sunday,2,8,2011,212,0,0,0,0,62
212,8/29/11,11131,Monday,3,8,2011,213,0,0,0,0,18
213,8/30/11,11131,Tuesday,4,8,2011,214,0,0,0,0,11
214,8/31/11,11131,Wednesday,5,8,2011,215,0,0,0,1,24
215,9/1/11,11131,Thursday,6,9,2011,216,0,0,0,0,16
216,9/2/11,11131,Friday,7,9,2011,217,0,0,0,0,48
217,9/3/11,11132,Saturday,1,9,2011,218,0,0,0,0,49
218,9/4/11,11132,Sunday,2,9,2011,219,0,0,0,0,34
219,9/5/11,11132,Monday,3,9,2011,220,0,0,1,0,49
220,9/6/11,11132,Tuesday,4,9,2011,221,0,0,0,0,43
221,9/7/11,11132,Wednesday,5,9,2011,222,0,0,0,0,29
222,9/8/11,11132,Thursday,6,9,2011,223,0,0,0,0,13
223,9/9/11,11132,Friday,7,9,2011,224,0,0,0,0,30
224,9/10/11,11133,Saturday,1,9,2011,225,0,0,0,0,45
225,9/11/11,11133,Sunday,2,9,2011,226,0,0,0,0,27
226,9/12/11,11133,Monday,3,9,2011,227,0,0,0,0,17
227,9/13/11,11133,Tuesday,4,9,2011,228,0,0,0,0,14
228,9/14/11,11133,Wednesday,5,9,2011,229,0,0,0,0,25
229,9/15/11,11133,Thursday,6,9,2011,230,0,0,0,0,13
230,9/16/11,11133,Friday,7,9,2011,231,0,0,0,0,27
231,9/17/11,11134,Saturday,1,9,2011,232,0,0,0,0,42
232,9/18/11,11134,Sunday,2,9,2011,233,0,0,0,0,55
233,9/19/11,11134,Monday,3,9,2011,234,0,0,0,0,35
234,9/20/11,11134,Tuesday,4,9,2011,235,0,0,0,0,30
235,9/21/11,11134,Wednesday,5,9,2011,236,0,0,0,0,21
236,9/22/11,11134,Thursday,6,9,2011,237,0,0,0,0,16
237,9/23/11,11134,Friday,7,9,2011,238,0,0,0,0,41
238,9/24/11,11135,Saturday,1,9,2011,239,0,0,0,0,39
239,9/25/11,11135,Sunday,2,9,2011,240,0,0,0,0,45
240,9/26/11,11135,Monday,3,9,2011,241,0,0,0,0,20
241,9/27/11,11135,Tuesday,4,9,2011,242,0,0,0,0,19
242,9/28/11,11135,Wednesday,5,9,2011,243,0,0,0,0,23
243,9/29/11,11135,Thursday,6,9,2011,244,0,0,0,0,16
244,9/30/11,11135,Friday,7,9,2011,245,0,0,0,0,22
245,10/1/11,11136,Saturday,1,10,2011,246,0,0,0,0,47
246,10/2/11,11136,Sunday,2,10,2011,247,0,0,0,0,61
247,10/3/11,11136,Monday,3,10,2011,248,0,0,0,0,19
248,10/4/11,11136,Tuesday,4,10,2011,249,0,0,0,0,19
249,10/5/11,11136,Wednesday,5,10,2011,250,0,0,0,0,17
250,10/6/11,11136,Thursday,6,10,2011,251,0,0,0,0,18
251,10/7/11,11136,Friday,7,10,2011,252,0,0,0,0,28
252,10/8/11,11137,Saturday,1,10,2011,253,0,0,0,0,43
253,10/9/11,11137,Sunday,2,10,2011,254,0,0,0,0,56
254,10/10/11,11137,Monday,3,10,2011,255,0,0,1,0,19
255,10/11/11,11137,Tuesday,4,10,2011,256,0,0,0,0,24
256,10/12/11,11137,Wednesday,5,10,2011,257,0,0,0,0,21
257,10/13/11,11137,Thursday,6,10,2011,258,0,0,0,0,22
258,10/14/11,11137,Friday,7,10,2011,259,0,0,0,0,27
259,10/15/11,11138,Saturday,1,10,2011,260,0,0,0,0,44
260,10/16/11,11138,Sunday,2,10,2011,261,0,0,0,0,55
261,10/17/11,11138,Monday,3,10,2011,262,0,0,0,0,27
262,10/18/11,11138,Tuesday,4,10,2011,263,0,0,0,0,18
263,10/19/11,11138,Wednesday,5,10,2011,264,0,0,0,0,23
264,10/20/11,11138,Thursday,6,10,2011,265,0,0,0,0,19
265,10/21/11,11138,Friday,7,10,2011,266,0,0,0,0,29
266,10/22/11,11139,Saturday,1,10,2011,267,0,0,0,0,57
267,10/23/11,11139,Sunday,2,10,2011,268,0,0,0,0,54
268,10/24/11,11139,Monday,3,10,2011,269,0,0,0,0,19
269,10/25/11,11139,Tuesday,4,10,2011,270,0,0,0,0,22
270,10/26/11,11139,Wednesday,5,10,2011,271,0,0,0,0,16
271,10/27/11,11139,Thursday,6,10,2011,272,0,0,0,0,20
272,10/28/11,11139,Friday,7,10,2011,273,0,0,0,0,26
273,10/29/11,11140,Saturday,1,10,2011,274,0,0,0,0,57
274,10/30/11,11140,Sunday,2,10,2011,275,0,0,0,0,57
275,10/31/11,11140,Monday,3,10,2011,276,0,1,0,0,21
276,11/1/11,11140,Tuesday,4,11,2011,277,0,0,0,0,26
277,11/2/11,11140,Wednesday,5,11,2011,278,0,0,0,0,22
278,11/3/11,11140,Thursday,6,11,2011,279,0,0,0,0,17
279,11/4/11,11140,Friday,7,11,2011,280,0,0,0,0,40
280,11/5/11,11141,Saturday,1,11,2011,281,0,0,0,0,36
281,11/6/11,11141,Sunday,2,11,2011,282,0,0,0,0,46
282,11/7/11,11141,Monday,3,11,2011,283,0,0,0,1,16
283,11/8/11,11141,Tuesday,4,11,2011,284,0,0,0,0,18
284,11/9/11,11141,Wednesday,5,11,2011,285,0,0,0,0,15
285,11/10/11,11141,Thursday,6,11,2011,286,0,0,0,0,24
286,11/11/11,11141,Friday,7,11,2011,287,0,0,1,0,34
287,11/12/11,11142,Saturday,1,11,2011,288,0,0,0,0,41
288,11/13/11,11142,Sunday,2,11,2011,289,0,0,0,0,57
289,11/14/11,11142,Monday,3,11,2011,290,0,0,0,0,28
290,11/15/11,11142,Tuesday,4,11,2011,291,0,0,0,0,21
291,11/16/11,11142,Wednesday,5,11,2011,292,0,0,0,0,19
292,11/17/11,11142,Thursday,6,11,2011,293,0,0,0,0,23
293,11/18/11,11142,Friday,7,11,2011,294,0,0,0,0,19
294,11/19/11,11143,Saturday,1,11,2011,295,0,0,0,0,50
295,11/20/11,11143,Sunday,2,11,2011,296,0,0,0,0,35
296,11/21/11,11143,Monday,3,11,2011,297,0,0,0,0,21
297,11/22/11,11143,Tuesday,4,11,2011,298,0,0,0,0,43
298,11/23/11,11143,Wednesday,5,11,2011,299,0,0,0,0,34
299,11/24/11,11143,Thursday,6,11,2011,300,0,0,1,0,43
300,11/25/11,11143,Friday,7,11,2011,301,0,0,0,0,92
301,11/26/11,11144,Saturday,1,11,2011,302,0,0,0,0,41
302,11/27/11,11144,Sunday,2,11,2011,303,0,0,0,0,25
303,11/28/11,11144,Monday,3,11,2011,304,0,0,0,0,13
304,11/29/11,11144,Tuesday,4,11,2011,305,0,0,0,0,19
305,11/30/11,11144,Wednesday,5,11,2011,306,0,0,0,0,10
306,12/1/11,11144,Thursday,6,12,2011,307,0,0,0,0,25
307,12/2/11,11144,Friday,7,12,2011,308,0,0,0,0,33
308,12/3/11,11145,Saturday,1,12,2011,309,0,0,0,0,43
309,12/4/11,11145,Sunday,2,12,2011,310,0,0,0,0,46
310,12/5/11,11145,Monday,3,12,2011,311,0,0,0,0,22
311,12/6/11,11145,Tuesday,4,12,2011,312,0,0,0,0,26
312,12/7/11,11145,Wednesday,5,12,2011,313,0,0,0,0,27
313,12/8/11,11145,Thursday,6,12,2011,314,0,0,0,0,21
314,12/9/11,11145,Friday,7,12,2011,315,0,0,0,0,31
315,12/10/11,11146,Saturday,1,12,2011,316,0,0,0,0,57
316,12/11/11,11146,Sunday,2,12,2011,317,0,0,0,0,43
317,12/12/11,11146,Monday,3,12,2011,318,0,0,0,0,37
318,12/13/11,11146,Tuesday,4,12,2011,319,0,0,0,0,21
319,12/14/11,11146,Wednesday,5,12,2011,320,0,0,0,0,18
320,12/15/11,11146,Thursday,6,12,2011,321,0,0,0,0,23
321,12/16/11,11146,Friday,7,12,2011,322,0,0,0,0,34
322,12/17/11,11147,Saturday,1,12,2011,323,0,0,0,0,74
323,12/18/11,11147,Sunday,2,12,2011,324,0,0,0,0,60
324,12/19/11,11147,Monday,3,12,2011,325,0,0,0,0,28
325,12/20/11,11147,Tuesday,4,12,2011,326,0,0,0,0,28
326,12/21/11,11147,Wednesday,5,12,2011,327,0,0,0,0,39
327,12/22/11,11147,Thursday,6,12,2011,328,0,0,0,0,45
328,12/23/11,11147,Friday,7,12,2011,329,0,0,0,0,75
329,12/24/11,11148,Saturday,1,12,2011,330,0,0,0,0,47
330,12/25/11,11148,Sunday,2,12,2011,331,0,0,1,0,39
